Yeaer_Month,Count
2010-01,19280
2010-02,15985
2010-03,18097
2010-04,17733
2010-05,17692
2010-06,17630
2010-07,17812
2010-08,17249
2010-09,16576
2010-10,17549
2010-11,15982
2010-12,16984
2011-01,17884
2011-02,14649
2011-03,16904
2011-04,16405
2011-05,16911
2011-06,16976
2011-07,17237
2011-08,16977
2011-09,16204
2011-10,16998
2011-11,16375
2011-12,16656
2012-01,17624
2012-02,15300
2012-03,16547
2012-04,16263
2012-05,17456
2012-06,16988
2012-07,16930
2012-08,17594
2012-09,16934
2012-10,17188
2012-11,15730
2012-12,16238
2013-01,16490
2013-02,14016
2013-03,16154
2013-04,15676
2013-05,16550
2013-06,16042
2013-07,16567
2013-08,17358
2013-09,16156
2013-10,16176
2013-11,15285
2013-12,15287
2014-01,15889
2014-02,13631
2014-03,15530
2014-04,15373
2014-05,16670
2014-06,16292
2014-07,17164
2014-08,16979
2014-09,16697
2014-10,17231
2014-11,15904
2014-12,17099
2015-01,17977
2015-02,15928
2015-03,17900
2015-04,16868
2015-05,17837
2015-06,17423
2015-07,18550
2015-08,18873
2015-09,18151
2015-10,19060
2015-11,17235
2015-12,18061
2016-01,18599
2016-02,17176
2016-03,18114
2016-04,18455
2016-05,18897
2016-06,18786
2016-07,19262
2016-08,19249
2016-09,18264
2016-10,19429
2016-11,17720
2016-12,18895
2017-01,18693
2017-02,16759
2017-03,19006
2017-04,18327
2017-05,19007
2017-06,18469
2017-07,19541
2017-08,18329
2017-09,3311
